,Date,Timestamp,Piligrims,Tonsures,Hundi,Speciality,Temperature,Condition,Tweets
52,22/02/2022,1645468200.0,38000,17778,3.1,Tirupati Sri KT Brahmotsavam Begins,90,Clear sky,"['\n???????????? ?????? ?????? ?? ??? ?? ????? ????  ??????? ?????? ????????? ???? \n\n50- 100 ?????? ?????? ??????? ?????????? \n1000,2000,3000, 50000 ?????? ??????? ??????? ?????????? ??? ???????? ??? ??????????? \n@ysjagan\n ', '\n???????? ??????  VS  ???? ....', '\n100/- ???? ??????-?????? ?? ?????? 500/- ?? ??????? ??? ??????? ??? ????????? ??????? ?????????? ?????? ?? ????????????  ???????? ??????????????? ??? ?????? ????, ?????????? ????????????? \n@ysjagan\n ', '', '\n??????? ?????? ?????? ???? ?????? ?????? ????. ??????? ???? ?????? ????? ???????? ??????? ???????? ?????? ???????? ????????? ????. \n\n??????? ???? ????? ???????... ??????? ???????? ????? ??????? ???????? ?????? ???????????? ? ???????. ?????? ??????? \n@yvsubbareddymp\n ????', '', '\n?????????? ?????????? ??????? ???????, \n?????? ??? ?????????? ???? ?????????? ??????? ???????? \n@AndhraPradeshCM\n16\n18\nJagan only\n@OnlyYSJagan\n·', '\n??????? ???????? ?????? ?????? ???? ??? ?????? ???????? ?????? ????. ????????? ??? ????? ???????? ??????? ???????? ????????? ????????. ?????????? ????????????? ???????? ?????. ? ????? ?????? ????????? ???? ????????.', '\n???? ?????? ???????, ???? ????? ???? ????? ??????????????? ???? ??????????????.\n\n???, ??? ??????? ????, ??????? ?????? ??????? ???????, ???? ????????????? ?????? ?????? ????????? ??? ?????? ?????????.', '\n????? ??????  ???????,?????? ???????? ???????? ""???????"" ?????????????? ', '\n????? ???????? ???????? ??????? ????????.. ??????? ???????? ???????? ?????? ????? ?????? ?????????? ????????? ??.?.?? ??????????? ????? ?????? ??????? ??????? ?????? ???????? ????????? ????????.. ', '\n?????\u200c?\u200c?? ????????????? ?????\u200c?? ???\u200c???????????..\n??????\u200c???? ????\u200c??? ???\u200c??????? ??????? ?????\u200c?? ??????????.\n???\u200c?????? ???????? ?????\u200c?? ???\u200c?????????? ???\u200c???? ?\u200c?\u200c?\u200c???? ?\u200c?????????.', '\n???????????? ???? ????????.. ??????? ???????? ????? ??? ??????? ?????? ???????????.. ?????????? ??????????? ??????????? ????????? ?????? ????????????.\n\n?????? ??????? ????????? ???? ??????? ? ???????? ????????????.']"
53,23/02/2022,1645554600.0,37216,22009,2.72,normal,86,Partly cloudy,"['\n?????? ???????\u200c???\u200c???? ?\u200c?\u200c?? ?????? ????? ??????. ???????? ???? ????????? ?????? ???? ????? ??????? ???????????????????. ??????? ?????? ????? ???????\u200c?\u200c?????? ???????? ???? ???? ????? ??????????. ?????? ?????????? ????????? ???\u200c???? ??????????-???? ?????? ', '\n????????? ???? ???????... ?????????? ??????.. ', '\n?????? ??????? ??????, ????? ?????? ?? ?????. ', ""\n???????? ???????-??????? '??????' ?? ??????????? ???? ???. P.S ???????????? ??????? ??? ???o '???' ?? ???? ????? ???????? ???????????? ???. ""]"
54,24/02/2022,1645641000.0,53740,26977,3.21,"Sri G.T Adhyayanotsavam Ends, Srinivasa Mangapuram Sri KVS Garuda Seva",86,Few clouds,"['\nVIP Recommendations ?????? ????? ???????? ???????? ??????????? ?????? ?????? ????????????? ???? ?????? ???????????? - ?????? ?????\n????? ??? ???? ?????? ?????? ????? 50 ????? 150 ???? VIP ? ??????? ?????? ??????????? ??????? ???????????????,?????? ???????? ?????']"
55,25/02/2022,1645727400.0,56559,28751,5.41,normal,86,Clear sky,[]
56,26/02/2022,1645813800.0,65704,33187,3.67,normal,86,Clear sky,"['\nTTD ??????? ?? ???? ?????? ??????? ?????, ????? ??????\n??? ????? ???????? ????...']"
57,27/02/2022,1645900200.0,68095,29050,3.94,"Ekadasi, Srinivasa Mangapuram, Sri KVS Rathotsavam",88,Clear sky,['\n?????????? ?????????!\n???????? ???????? \n\n??????? ???? ????????? ???????? \n‘?????????’ ???????? ??????? ????? ?????????\u200c??\n ???\n\n ??.38 ??????????? 90.65 ????? ?????? ???????? ???? ???????? ?????? ????????????????? ?????? ???????? ']
58,28/02/2022,1645986600.0,55532,25114,4.33,"Sravanam, Srinivasa Mangapuram Sri KVS Brahmotsavam Ends",88,Clear sky,[]
59,01/03/2022,1646073000.0,53163,20651,4.51,normal,88,Few clouds,['\n???????? ???\u200c???\u200c?? ?????? ?\u200c???\u200c']
60,02/03/2022,1646159400.0,46172,19395,3.33,normal,88,Partly cloudy,['\n???????? ???\u200c???\u200c?? ?????? ?\u200c???\u200c..!!']
61,03/03/2022,1646245800.0,50511,22089,3.63,Tirupati Sri KT Brahmotsavam Ends,84,Broken clouds,"['\n??????: ?????????? ???????? ??????? ?????? ?????, ???????? ????? ?????. ?????????? ???????????? ????????????? 10 ????? 96 ??? ???? ???????. ????? ????? ??.79.31 ??????. ???????? ?????????? ??????? 5 ????? 25 ????.', '\n??????:????? ?????????? ????????????? 46,172 ???? ???????. ???????? ?????????? 10,395 ???? ???????. ????? ????? ??.3.33 ??????.']"
62,04/03/2022,1646332200.0,56686,27997,2.93,"Matsya Jayanti, Tirupati Sri Kodanda Rama Swamy Temple Garuda Seva",86,Broken clouds,['\nI see this WR group has speed in it! DB’s don’t be up in press and not get disruption with your feet and hands bc you will get exposed. Understand technique slows the speed down! ']
63,05/03/2022,1646418600.0,67750,30192,3.13,"Rohini, Parasurama Jayanthi, Akshaya Tritheeya",86,Clear sky,['']
64,06/03/2022,1646505000.0,61052,27500,4.57,Punarvasu,84,Broken clouds,"['\n?????? ????????? , ?????????  ?? TTD ????????? ?????? ??????????? ??????????? . TTD ??????? ????.???????????? ????  ??????? ????????????? ????? ?? ???????? ?????? ????? ????? ?????? ??????? ??????????. ', '\n?????? ??????? ????????? ?????????,??????????? ????????????? ???? ??????? ????? ??? ???? ????????...\n@yvsubbareddymp\n ']"
65,07/03/2022,1646591400.0,57904,26877,4.06,Srinivasa Mangapuram Sri KVS Sakshatkara Vaibhavotsavam Begins,86,Broken clouds,[]
66,08/03/2022,1646677800.0,58561,25401,4.01,Kalki Jayanthi,90,Clear sky,['\nAre you a Software Tester? \n\nAdria has a great opportunity for you in ']
67,09/03/2022,1646764200.0,59086,28701,3.81,normal,90,Clear sky,['\n??????: ???????? ??????? ?????? ???????????? ???????? ?????????? ????????? ????????? ????????.']
68,10/03/2022,1646850600.0,61620,28988,4.36,Durgastami,90,Partly cloudy,[]
69,11/03/2022,1646937000.0,65192,32592,4.41,"Narayanavanam Sri KVS Float Begins, Yajnavalkya Jayanthi",90,Clear sky,[]
70,12/03/2022,1647023400.0,71069,34741,4.45,normal,91,Few clouds,"['\n?????? ?????? ??????????  65,192 ???? ??????? ????????????????. ???????? ?????????? 32,592 ???? ???????. ????? ????? ??.4.41 ??????']"
71,13/03/2022,1647109800.0,74167,33976,4.52,"Tirumala Sri TT Float Begins, Punarvasu",91,Broken clouds,['\n?????? : ???? ????? ??? ?????? ???? ???????? ??????? ?????????????. ???? ?????????? ???????? ???? ??????????????? ???????? ???????????? ??????????.']
72,14/03/2022,1647196200.0,61982,27400,3.88,Ekadasi,93,Clear sky,"['\nThe program for \n@SSTIC\n 2022 is out, and we are super proud to give no less than 4 talks! We hope to see you all in Rennes in June ;) ']"
73,15/03/2022,1647282600.0,61654,25920,4.25,normal,93,Broken clouds,['']
74,16/03/2022,1647369000.0,64368,31179,4.52,normal,93,Broken clouds,[]
75,17/03/2022,1647455400.0,66577,31471,3.97,"Tirumala Sri TT Float Ends, Holi",95,Broken clouds,"['\n????????? ???????? ????? ?????? ?????????? ???? ???????????????? ???? ????????????????? ??????????. ?????? ????????? 145 ?????? ??????.. ??????? ????????????.. ??.30 ???????  ? ????  ???????????????', '\n??????: 21? ????? ??? ???? ?? ??. 300 ???????? ?????? ?????? ?????????? ?????? ?????????? ??????. ?????? 25 ??? ??????? ?????????? ?????? ?????????? ??????. ???????,??,???? ?????? ?????????? ??????????? ??????? ?????? ???? ?????? ??????.']"
76,18/03/2022,1647541800.0,66763,33133,4.29,"Thumburu Teertha Mukkoti, Purnima, Lakshmi Jayanthi",97,Clear sky,"['\n??????: ? ??? 20? ???\u200c????\u200c?? ???????? ?????? ???? ????????, ????? ??????? ??????????? ???????? ?????????????? ?????? ?????, ???????\u200c 1 ????? ???????? ?????? ?????? ???????? ??????-??????', '\n??????: ????? ?????????? ????????????? 66,577 ???? ???????, ???????? ?????????? 31,471 ???? ???????, ????? ????? ??. 3.97 ??????']"
77,19/03/2022,1647628200.0,72265,34517,4.59,normal,97,Few clouds,"['\n??????: ???????? ???\u200c????\u200c?? ???????? ?????? ?????? ???????? ??????, ?????? ?????????? ???????????????? ??? ?????? ??????? ??????? ????? ???????? ?????? ???????? ?????????.. 92 ??????? ????????? 25 ????? ????? ???????? ?????? ???????? ??????']"
78,20/03/2022,1647714600.0,70408,34932,4.63,normal,88,Heavy rain in places,['\n?????? : ???????? ?????? ???? ????????? ?????? ????? ??????. ??????\u200c?? ???????? ?????? ????\u200c ???? ????????. ????? ????\u200c ?????????????\u200c?? ?????\u200c ???? ????\u200c. ????? ??????? ???????? ???????.']
79,21/03/2022,1647801000.0,64425,29476,4.51,normal,91,Partly cloudy,[]
80,22/03/2022,1647887400.0,69711,30871,4.41,normal,93,Broken clouds,"['\n?? ?????????? ?????? ?????? ???????? ??????\n?????? ??? ???????? ???????????????\n?????? ? ???????? ????????????? ???? ????? ????? ????????\n????? ????? ????? ?????????? ?????? ????????????? ???????? ??? ?????\n??? ????? ?????????? ??????,?????????? ??????? ????? ???? ????????', '\n??????: ??????? 1? ???? ????? ???????? ?????????????? ????????????? ??????. ?????? 31? ???? ????? ???????? ?????????????? ??????. ?????? ??????? ??????????? ???????????? ??????????? ??????. ', '\n??? ???? ???? ?????? ?? Vip ?????? ?????? ???? ?????? ????????? ??????? ???o ????? ????????? ?????????? ..?????? ?????? ?????? ???? ??????? ?????? ????? ????? ???? ????????.', '\n?????? ???????? 29 ???? ??????? ????????????. ???? ???? ????????? ???????? ???? ??? 52 ?????? ???????? ?????????? ?????? ???? ????????? ???????????. ??? ???????? ???????? ?????? ?????, ???? ????? ?????????????? ???????????????? ?????? ???? ?????????? ????????? ??????????????.\nShow this thread\n1\n5\n22\nNarayan Viswam\n@nviswam\n·', '\n@BJP4India\n  MP Dr. Subramanian \n@Swamy39\n  says propaganda about Christianity brought to Tirumala totally false']"
81,23/03/2022,1647973800.0,64986,33200,4.28,normal,97,Broken clouds,['\n?????? 1-?? ???? ????? ?????????????? ???????????????? ?????????!']
