,Date,Piligrims,Tonsures,Hundi,Temperature,Condition,ttd online darshan tickets,Tirupati,Tirumala,VIP darshan,How to reach Tirupati,ttd sarva darshan tickets,ttd free darshan online booking availability,apsrtc tirumala darshan tickets,apsrtc ttd 300 tickets,ksrtc tirupati package,srinivasam complex,tirumala darshan tickets,tirumala darshan,tirupati balaji.ap.gov.in,tirupati darshan 500 rupees ticket,ttd free darshan online booking availability.1,Week_day,Review,Timestamp,Day,Speciality,Festivals,Tidi,Seva_Begins,Sevas,Public_Day,Normal
62,2022-3-4,56686,27997,2.93,86,1291,5,54,25,26,0,0,18,0,0,23,28,15,11,0,0,18,0,1,1646332200.0,Friday,"Matsya Jayanti, Tirupati Sri Kodanda Rama Swamy Temple Garuda Seva",0,0,0,1,1,0
63,2022-3-5,67750,30192,3.13,86,862,0,49,32,27,28,0,28,0,28,0,0,11,16,22,0,28,1,0,1646418600.0,Saturday,"Rohini, Parasurama Jayanthi, Akshaya Tritheeya",0,1,0,0,1,0
64,2022-3-6,61052,27500,4.57,84,1291,5,49,24,24,0,0,15,21,44,0,20,10,12,0,0,15,1,0,1646505000.0,Sunday,Punarvasu,0,1,0,0,0,0
65,2022-3-7,57904,26877,4.06,86,1291,0,49,26,51,0,19,0,0,0,74,0,16,16,0,0,0,0,0,1646591400.0,Monday,Srinivasa Mangapuram Sri KVS Sakshatkara Vaibhavotsavam Begins,0,0,1,0,0,0
66,2022-3-8,58561,25401,4.01,90,862,14,49,22,12,0,36,29,0,0,59,17,0,11,0,0,29,0,1,1646677800.0,Tuesday,Kalki Jayanthi,0,0,0,0,1,0
67,2022-3-9,59086,28701,3.81,90,862,5,46,24,0,0,0,11,0,0,20,0,17,12,0,0,11,0,0,1646764200.0,Wednesday,normal,0,0,0,0,0,1
68,2022-3-10,61620,28988,4.36,90,1324,6,48,23,32,0,0,6,0,0,0,48,12,13,6,0,6,0,0,1646850600.0,Thursday,Durgastami,1,0,0,0,0,0
69,2022-3-11,65192,32592,4.41,90,862,6,51,26,18,0,55,23,0,0,0,0,9,9,0,52,23,0,0,1646937000.0,Friday,"Narayanavanam Sri KVS Float Begins, Yajnavalkya Jayanthi",0,0,1,0,1,0
70,2022-3-12,71069,34741,4.45,91,972,3,55,28,21,44,0,7,0,19,0,0,7,8,0,0,7,1,1,1647023400.0,Saturday,normal,0,0,0,0,0,1
71,2022-3-13,74167,33976,4.52,91,1291,4,48,25,49,60,19,7,0,0,0,0,13,15,0,20,7,1,0,1647109800.0,Sunday,"Tirumala Sri TT Float Begins, Punarvasu",0,1,1,0,0,0
72,2022-3-14,61982,27400,3.88,93,862,19,47,22,0,24,0,23,32,0,31,0,23,12,0,0,23,0,1,1647196200.0,Monday,Ekadasi,0,1,0,0,0,0
73,2022-3-15,61654,25920,4.25,93,1291,4,48,22,0,19,0,0,17,0,0,13,15,14,0,0,0,0,0,1647282600.0,Tuesday,normal,0,0,0,0,0,1
74,2022-3-16,64368,31179,4.52,93,1291,8,49,23,25,0,0,22,0,0,19,0,16,11,0,0,22,0,0,1647369000.0,Wednesday,normal,0,0,0,0,0,1
75,2022-3-17,66577,31471,3.97,95,1291,7,53,26,19,0,0,0,0,0,23,0,34,15,4,0,0,0,1,1647455400.0,Thursday,"Tirumala Sri TT Float Ends, Holi",0,1,0,1,0,0
76,2022-3-18,66763,33133,4.29,97,862,3,52,32,0,0,0,0,0,0,18,13,13,19,17,0,0,0,0,1647541800.0,Friday,"Thumburu Teertha Mukkoti, Purnima, Lakshmi Jayanthi",0,1,0,0,1,0
77,2022-3-19,72265,34517,4.59,97,972,8,62,40,13,0,19,0,0,0,0,0,15,23,9,0,0,1,0,1647628200.0,Saturday,normal,0,0,0,0,0,1
78,2022-3-20,70408,34932,4.63,88,1878,27,71,51,28,24,19,26,0,27,0,0,57,37,97,0,26,1,0,1647714600.0,Sunday,normal,0,0,0,0,0,1
79,2022-3-21,64425,29476,4.51,91,1324,38,90,82,24,22,25,33,18,35,0,17,45,52,71,61,33,0,0,1647801000.0,Monday,normal,0,0,0,0,0,1
80,2022-3-22,69711,30871,4.41,93,1291,24,75,53,12,19,28,22,23,0,30,46,22,27,63,0,22,0,1,1647887400.0,Tuesday,normal,0,0,0,0,0,1
81,2022-3-23,64986,33200,4.28,97,1291,4,69,42,12,0,0,28,0,23,0,19,24,25,21,0,28,0,-1,1647973800.0,Wednesday,normal,0,0,0,0,0,1
82,2022-3-24,63042,31218,4.18,95,1291,8,60,40,15,0,0,17,28,0,46,23,13,13,28,0,17,0,0,1648060200.0,Thursday,"Nagulapuram Sri VNS Surya Puja, Float Begins",0,0,0,1,0,0
83,2022-3-25,65418,33451,4.41,95,972,0,59,38,20,19,17,13,0,0,41,23,9,12,20,46,13,0,0,1648146600.0,Friday,normal,0,0,0,0,0,1
84,2022-3-26,69897,38099,3.92,97,972,17,79,71,15,86,0,36,0,0,0,100,36,30,47,0,36,1,0,1648233000.0,Saturday,normal,0,0,0,0,0,1
85,2022-3-27,71167,34688,4.46,97,862,10,59,40,24,0,0,13,0,0,32,17,16,15,0,0,13,1,0,1648319400.0,Sunday,normal,0,0,0,0,0,1
86,2022-3-28,64425,29476,4.43,99,862,15,52,36,19,24,0,35,17,33,0,21,19,22,4,0,35,0,1,1648405800.0,Monday,"Ekadasi, Sravanam, Srinivasa Mangapuram Sri KVS Pushpayagam, Nagulapuram Sri VNS Surya Puja, Float Ends",0,1,0,1,0,0
87,2022-3-29,54396,29334,4.37,99,972,4,52,33,13,36,0,6,0,28,0,0,8,14,0,0,6,0,0,1648492200.0,Tuesday,Annamacharya Vardhanthi,0,1,0,0,0,0
88,2022-3-30,61224,33930,4.02,99,862,5,50,31,26,0,0,8,18,0,0,0,11,21,14,87,8,0,1,1648578600.0,Wednesday,"Masasivaratri, Tirupati Sri Kodanda Rama Temple Brahmotsavam Begins",0,1,0,1,0,0
89,2022-3-31,54273,28089,4.08,100,862,0,49,28,9,0,0,5,0,0,0,0,5,13,4,0,5,0,0,1648665000.0,Thursday,normal,0,0,0,0,0,1
90,2022-4-1,56958,26029,3.35,97,862,7,55,28,15,0,0,19,0,32,0,0,19,16,6,0,19,0,1,1648751400.0,Friday,normal,0,0,0,0,0,1
91,2022-4-2,62925,33893,4.27,97,862,8,57,31,14,0,0,0,0,0,45,13,11,18,10,0,0,1,0,1648837800.0,Saturday,normal,0,0,0,0,0,1
92,2022-4-3,71034,32291,3.38,97,862,5,56,32,35,0,0,6,46,0,0,19,7,11,12,0,6,1,0,1648924200.0,Sunday,normal,0,0,0,0,0,1
93,2022-4-4,66112,35727,4.64,97,1324,8,56,30,18,28,12,14,0,0,0,11,15,14,4,0,14,0,0,1649010600.0,Monday,normal,0,0,0,0,0,1
94,2022-4-5,61654,25920,4.35,95,862,4,52,28,8,0,42,18,0,0,0,16,5,10,0,0,18,0,0,1649097000.0,Tuesday,normal,0,0,0,0,0,1
95,2022-4-6,68009,39518,4.1,95,1291,5,53,27,24,46,0,0,14,0,0,14,5,14,0,30,0,0,1,1649183400.0,Wednesday,normal,0,0,0,0,0,1
96,2022-4-7,65840,34135,4.19,95,862,7,55,27,36,0,29,0,0,0,46,14,8,14,0,0,0,0,0,1649269800.0,Thursday,normal,0,0,0,0,0,1
97,2022-4-8,60790,35106,4.36,95,862,6,57,31,0,0,0,10,0,0,0,22,19,21,19,0,10,0,0,1649356200.0,Friday,Vayalpadu Sri PRS Pattabhishekam Ends,0,0,0,1,0,0
98,2022-4-9,70727,38970,3.88,93,862,4,62,32,11,24,0,0,0,69,34,0,17,17,0,21,0,1,0,1649442600.0,Saturday,normal,0,0,0,0,0,1
99,2022-4-10,66593,31206,3.79,93,1291,3,51,32,33,40,0,16,0,0,41,0,16,16,0,0,16,1,1,1649529000.0,Sunday,"Mahanavami , Tirumala Sri TT Rathotsavam",0,1,0,1,0,0
100,2022-4-11,63223,34547,4.72,93,1291,0,56,25,9,0,0,17,0,0,21,0,18,14,6,0,17,0,0,1649615400.0,Monday,"Ekadasi, Chaturmasyam Ends",0,1,0,1,0,0
101,2022-4-12,72567,40468,4.32,95,1291,8,54,31,35,75,0,13,0,0,0,0,23,25,6,0,13,0,0,1649701800.0,Tuesday,"Gita Jayanthi, Ekadasi",0,1,0,0,1,0
102,2022-4-13,88748,38558,4.82,91,1291,0,59,33,17,0,0,14,0,0,0,0,21,14,0,49,14,0,1,1649788200.0,Wednesday,normal,0,0,0,0,0,1
103,2022-4-14,82722,33678,5.11,97,972,9,58,32,24,31,0,15,49,25,0,0,7,12,7,0,15,0,-1,1649874600.0,Thursday,"Tamil New Year?s Day, DR. B.R Ambedkar Jayanthi. Sri TT Vasanthotsavam Begins, Vayalpadu Sri PRS Brahmotsavam Ends, Tirupati SRI KRT Float Begins",0,0,0,1,1,0
104,2022-4-15,75110,34241,4.0,99,1291,0,57,30,0,0,29,0,0,0,0,0,5,13,8,0,0,0,1,1649961000.0,Friday,Vontimatta Sri Kodandaramaswamy Temple Pushpayagam,0,0,0,1,0,0
105,2022-4-16,76746,31574,4.62,100,972,4,58,31,26,0,0,5,22,0,31,0,17,12,8,0,5,1,0,1650047400.0,Saturday,normal,0,0,0,0,0,1
106,2022-4-17,68299,26421,4.9,97,1324,0,56,26,23,25,0,12,0,0,71,13,0,18,0,0,12,1,1,1650133800.0,Sunday,normal,0,0,0,0,0,1
107,2022-4-18,64157,29720,3.84,93,972,8,56,25,39,0,41,6,0,0,17,0,8,11,8,23,6,0,1,1650220200.0,Monday,normal,0,0,0,0,0,1
108,2022-4-19,67858,28536,4.15,97,972,4,46,24,27,0,0,0,0,0,0,0,0,12,0,19,0,0,1,1650306600.0,Tuesday,normal,0,0,0,0,0,1
109,2022-4-20,66745,30780,5.14,99,972,4,50,25,21,0,0,9,0,0,23,0,14,11,7,30,9,0,0,1650393000.0,Wednesday,normal,0,0,0,0,0,1
110,2022-4-21,61278,30585,4.32,99,862,0,48,23,0,71,0,0,0,100,0,32,12,14,10,0,0,0,1,1650479400.0,Thursday,normal,0,0,0,0,0,1
111,2022-4-22,63084,28563,3.12,99,972,5,51,27,13,0,12,6,0,0,0,30,14,16,0,0,6,0,1,1650565800.0,Friday,normal,0,0,0,0,0,1
112,2022-4-23,71069,34741,3.75,97,1291,13,57,30,42,0,0,6,0,0,0,12,12,12,5,0,6,1,1,1650652200.0,Saturday,normal,0,0,0,0,0,1
113,2022-4-24,75438,29440,4.28,99,1291,0,54,27,19,0,30,14,58,0,0,0,0,11,6,0,14,1,0,1650738600.0,Sunday,"Sravanam, Nagulapuram Sri VNS Brahmotsavam Ends",0,1,0,1,0,0
114,2022-4-25,65763,33758,4.29,100,862,6,57,30,10,0,0,0,0,0,29,0,22,17,6,0,0,0,0,1650825000.0,Monday,normal,0,0,0,0,0,1
115,2022-4-26,67681,31738,4.54,100,862,4,54,32,14,0,0,0,0,0,25,44,8,17,22,0,0,0,1,1650911400.0,Tuesday,normal,0,0,0,0,0,1
116,2022-4-27,75078,34674,4.34,102,972,3,51,28,14,0,0,0,0,16,0,28,17,15,9,0,0,0,1,1650997800.0,Wednesday,Ekadasi,0,1,0,0,0,0
117,2022-4-28,64380,31204,4.75,100,862,10,54,28,13,40,0,0,0,0,16,32,11,13,6,0,0,0,0,1651084200.0,Thursday,normal,0,0,0,0,0,1
118,2022-4-29,65725,30346,4.54,102,972,8,56,28,25,0,60,0,0,49,0,29,21,18,0,0,0,0,0,1651170600.0,Friday,Masa Shivratri,0,1,0,0,0,0
119,2022-4-30,75010,31116,3.59,102,972,16,60,36,37,0,16,0,0,0,0,0,6,15,5,0,0,1,0,1651257000.0,Saturday,Amavasya,0,1,0,0,0,0
120,2022-5-1,72904,30702,4.7,102,862,6,57,31,15,22,0,0,0,0,0,0,15,13,8,0,0,1,1,1651343400.0,Sunday,Sravanam,0,1,0,0,0,0
121,2022-5-2,65756,34774,4.6,99,1324,0,54,25,22,21,29,13,0,0,0,0,36,14,7,0,13,0,1,1651429800.0,Monday,Vasantha Panchami,0,1,0,0,0,0
122,2022-5-3,61654,25920,4.3,97,972,7,53,27,7,0,20,6,0,0,0,20,16,16,10,23,6,0,0,1651516200.0,Tuesday,normal,0,0,0,0,0,1
123,2022-5-4,69603,30434,3.84,95,1324,4,49,25,13,0,0,0,0,36,0,0,6,12,0,0,0,0,0,1651602600.0,Wednesday,Krittika,0,1,0,0,0,0
124,2022-5-5,59528,29995,3.91,84,1324,0,50,23,14,40,0,9,12,0,0,0,0,8,5,0,9,0,-1,1651689000.0,Thursday,Sri Ramanuja Jayanthi,0,0,0,0,1,0
125,2022-5-6,63265,31217,3.5,91,1291,0,51,24,9,0,0,0,48,0,24,0,0,10,9,0,0,0,0,1651775400.0,Friday,Tirupati Sri Govindaraja Swamy Temple Brahmotsavam Begins,0,0,0,1,0,0
126,2022-5-7,76324,38710,4.73,97,1324,4,60,29,33,0,0,13,0,0,17,0,12,12,0,0,13,1,1,1651861800.0,Saturday,"Tirupati Sri Govindarajaswamy Pushpa Yagam, Srinivasa Mangapuram Sri KVS Sakshatkara Vaibhavolsavam Ends",0,0,0,1,0,0
127,2022-5-8,75876,32164,4.64,91,1291,17,49,27,11,0,19,0,23,0,0,0,0,15,0,20,0,1,0,1651948200.0,Sunday,Varalakshmi Vratham,1,0,0,0,0,0
128,2022-5-9,69154,29617,4.27,93,1291,4,54,25,20,0,0,5,0,0,0,21,0,13,4,0,5,0,0,1652034600.0,Monday,"Teachers? Day, Tirupati Sri GT Pavitrotsavam Begins",0,0,1,0,1,0
